perturbation,param,EER_FDR,EER_FDR_A,EER_FDR_B,EER_DoB,ZeroFMR_FDR,ZeroFMR_FDR_A,ZeroFMR_FDR_B,ZeroFMR_DoB,FMR100_FDR,FMR100_FDR_A,FMR100_FDR_B,FMR100_DoB,FMR1000_FDR,FMR1000_FDR_A,FMR1000_FDR_B,FMR1000_DoB
S&P,p=0,0.9685,0.0315,0.0315,0.011249074035966991,0.9696666666666667,0.0,0.06066666666666665,0.022768612654753946,0.9596666666666667,0.020333333333333335,0.06033333333333332,0.02217481053407722,0.9626666666666667,0.0026666666666666666,0.07200000000000001,0.029405569200408276
S&P,p=0.03,0.9238333333333333,0.07616666666666666,0.07616666666666666,0.030362251554264617,0.9823333333333333,0.0,0.03533333333333344,0.012767961205037167,0.9131666666666667,0.018666666666666668,0.15500000000000008,0.05548542100808507,0.9558333333333333,0.003,0.08533333333333337,0.03044484995674785
S&P,p=0.06,0.8933333333333333,0.10666666666666663,0.10666666666666663,0.04219202136265417,0.9964999999999999,0.0,0.007000000000000006,0.0025658007197234462,0.9158333333333333,0.025,0.14333333333333342,0.05132974825143368,0.972,0.003,0.05300000000000005,0.01924603133693341
S&P,p=0.09,0.8796666666666667,0.12033333333333329,0.12033333333333329,0.04766295148691951,0.9981666666666666,0.0,0.003666666666666596,0.0013202482931462154,0.9356666666666666,0.026,0.10266666666666668,0.039192899016701144,0.9856666666666667,0.0033333333333333335,0.02533333333333332,0.012176936305071879
S&P,p=0.12,0.875,0.125,0.125,0.050835519078691424,0.9988333333333334,0.0,0.0023333333333332984,0.0008936504412302928,0.9468333333333333,0.02733333333333333,0.07900000000000007,0.03161783515675926,0.9931666666666666,0.0036666666666666666,0.010000000000000009,0.004153311931459041
S&P,p=0.15,0.8741666666666668,0.1258333333333333,0.1258333333333333,0.051883600358023634,0.9995,0.0,0.0010000000000000009,0.00036324157862839405,0.9573333333333334,0.028999999999999998,0.056333333333333346,0.021988001778747934,0.9898333333333333,0.003,0.01733333333333331,0.007231777866549192
S&P,p=0.18,0.8821666666666667,0.11783333333333335,0.11783333333333335,0.046900382016923224,0.999,0.0,0.0020000000000000018,0.0007264831572567881,0.968,0.027333333333333334,0.036666666666666625,0.014241956794392158,0.9963333333333333,0.0033333333333333335,0.0040000000000000036,0.0014719601443879758
S&P,p=0.21,0.895,0.10499999999999998,0.10499999999999998,0.042706117828713946,0.9984999999999999,0.0,0.0030000000000000027,0.00127747580972966,0.9711666666666666,0.027666666666666666,0.030000000000000027,0.011881357947081082,0.9961666666666666,0.004,0.003666666666666707,0.001384437310486357
S&P,p=0.24,0.902,0.09799999999999998,0.09799999999999998,0.03830977536985683,1.0,0.0,0.0,0.0,0.971,0.02366666666666667,0.03433333333333333,0.013509256086106293,0.9963333333333333,0.0033333333333333335,0.0040000000000000036,0.0016583123951777014
S&P,p=0.27,0.9233333333333333,0.07666666666666666,0.07666666666666666,0.02911388080547757,0.9993333333333334,0.0,0.0013333333333332975,0.0004930066485916273,0.9745,0.021666666666666667,0.029333333333333322,0.011598611027954064,0.9973333333333334,0.003,0.0023333333333332984,0.0008620067027323797
